Time,T_el,T_ph
3.9978000000000002,442.42648392102285,440.63482692949873
3.9979,442.419640179525,440.6348321639445
3.998,442.41279816138257,440.6348373783457
3.9981000000000004,442.40595786620764,440.63484257270756
3.9982,442.3991192936115,440.63484774703494
3.9983,442.3922824432061,440.634852901333
3.9984,442.3854473146032,440.634858035607
3.9985,442.3786139074146,440.6348631498618
3.9986,442.3717822212522,440.63486824410256
3.9987000000000004,442.3649522557281,440.6348733183345
3.9988,442.35812401045416,440.6348783725625
3.9989,442.35129748504255,440.63488340679174
3.999,442.34447267910565,440.6348884210273
3.9991000000000003,442.33764959225533,440.63489341527423
3.9992,442.33082822410427,440.6348983895377
3.9993000000000003,442.3240085742644,440.6349033438226
3.9994,442.31719064234846,440.63490827813416
3.9995,442.3103744279688,440.6349131924775
3.9996000000000005,442.303559930738,440.6349180868575
3.9997000000000003,442.29674715026863,440.6349229612794
3.9998,442.28993608617344,440.6349278157482
3.9999000000000002,442.283126738065,440.634932650269
4.0,442.27631910555624,440.6349374648468
4.000100000000001,442.2695131882599,440.6349422594868
4.0002,442.26270898578895,440.634947034194
4.0003,442.25590649775654,440.63495178897347
4.0004,442.2491057237754,440.63495652383017
4.0005,442.24230666345886,440.63496123876934
4.0006,442.23550931641995,440.63496593379597
4.0007,442.2287136822721,440.634970608915
4.0008,442.2219197606283,440.6349752641318
4.0009,442.21512755110217,440.63497989945114
4.001,442.20833705330693,440.63498451487817
4.0011,442.20154826685626,440.63498911041796
4.0012,442.1947611913635,440.6349936860756
4.0013000000000005,442.1879758264424,440.6349982418561
4.0014,442.1811921717065,440.6350027777645
4.0015,442.17441022676957,440.63500729380587
4.001600000000001,442.1676299912456,440.63501178998536
4.0017000000000005,442.160851464748,440.6350162663078
4.0018,442.15407464689116,440.63502072277845
4.0019,442.1472995372888,440.63502515940235
4.002,442.14052613555504,440.63502957618437
4.0021,442.1337544413039,440.6350339731297
4.0022,442.12698445414964,440.63503835024335
4.0023,442.1202161737064,440.63504270753043
4.0024,442.1134495995886,440.6350470449959
4.0025,442.1066847314104,440.63505136264473
4.0026,442.0999215687864,440.6350556604821
4.0027,442.093160111331,440.63505993851317
4.002800000000001,442.0864003586586,440.63506419674263
4.0029,442.07964231038414,440.6350684351758
4.003,442.07288596612193,440.63507265381764
4.003100000000001,442.066131325487,440.63507685267314
4.0032000000000005,442.0593783880939,440.63508103174735
4.0033,442.05262715355764,440.63508519104533
4.0034,442.045877621493,440.6350893305721
4.0035,442.0391297915151,440.6350934503327
4.0036000000000005,442.0323836632388,440.6350975503322
4.0037,442.0256392362794,440.63510163057555
4.0038,442.018896510252,440.63510569106785
4.0039,442.0121554847717,440.63510973181405
4.004,442.005416159454,440.63511375281934
4.0041,441.998678533914,440.63511775408847
4.0042,441.9919426077674,440.6351217356267
4.0043,441.98520838062944,440.635125697439
4.0044,441.9784758521158,440.63512963953036
4.0045,441.971745021842,440.6351335619058
4.0046,441.9650158894238,440.63513746457033
4.004700000000001,441.95828845447676,440.635141347529
4.0048,441.9515627166169,440.63514521078685
4.0049,441.94483867545983,440.6351490543488
4.005,441.93811633062165,440.63515287822
4.0051000000000005,441.93139568171824,440.6351566824054
4.0052,441.9246767283656,440.6351604669099
4.0053,441.91795947017994,440.6351642317387
4.0054,441.9112439067774,440.6351679768968
4.0055,441.9045300377742,440.6351717023891
4.0056,441.8978178627865,440.6351754082206
4.0057,441.89110738143086,440.63517909439645
4.0058,441.88439859332357,440.6351827609215
4.0059000000000005,441.87769149808116,440.63518640780086
4.006,441.87098609532006,440.6351900350395
4.0061,441.8642823846571,440.63519364264243
4.006200000000001,441.8575803657086,440.6351972306146
4.0063,441.8508800380916,440.6352007989611
4.0064,441.84418140142276,440.63520434768697
4.0065,441.8374844553189,440.63520787679704
4.006600000000001,441.830789199397,440.6352113862964
4.0067,441.82409563327394,440.63521487619005
4.0068,441.8174037565669,440.635218346483
4.0069,441.8107135688928,440.6352217971802
4.007,441.804025069869,440.63522522828674
4.0071,441.7973382591126,440.6352286398075
4.0072,441.79065313624096,440.6352320317476
4.0073,441.78396970087135,440.6352354041118
4.0074000000000005,441.77728795262124,440.6352387569053
4.0075,441.7706078911081,440.63524209013315
4.0076,441.76392951594937,440.63524540380007
4.007700000000001,441.75725282676285,440.63524869791127
4.0078000000000005,441.750577823166,440.6352519724716
4.0079,441.74390450477665,440.63525522748614
4.008,441.73723287121254,440.6352584629598
4.008100000000001,441.7305629220916,440.6352616788977
4.0082,441.7238946570317,440.6352648753047
4.0083,441.71722807565084,440.6352680521857
4.0084,441.71056317756694,440.63527120954586
4.0085,441.70389996239817,440.63527434739007
4.0086,441.69723842976276,440.63527746572333
4.0087,441.69057857927885,440.63528056455056
4.0088,441.6839204105648,440.63528364387685
4.0089,441.67726392323885,440.63528670370704
4.009,441.6706091169195,440.63528974404613
4.0091,441.66395599122524,440.63529276489925
4.0092,441.6573045457745,440.63529576627116
4.0093000000000005,441.65065478018596,440.635298748167
4.0094,441.64400669407826,440.6353017105915
4.0095,441.6373602870701,440.6353046535499
4.009600000000001,441.6307155587804,440.635307577047
4.0097000000000005,441.62407250882785,440.6353104810878
4.0098,441.6174311368315,440.63531336567735
4.0099,441.6107914424101,440.6353162308205
4.01,441.60415342518286,440.63531907652225
4.0101,441.59751708476887,440.6353219027875
4.0102,441.59088242078735,440.63532470962133
4.0103,441.58424943285735,440.6353274970287
4.0104,441.5776181205983,440.6353302650144
4.0105,441.57098848362943,440.63533301358353
4.0106,441.5643605215702,440.63533574274106
4.0107,441.5577342340402,440.63533845249185
4.010800000000001,441.5511096206588,440.6353411428409
4.0109,441.5444866810457,440.6353438137932
4.011,441.53786541482054,440.6353464653536
4.011100000000001,441.53124582160297,440.6353490975271
4.0112000000000005,441.5246279010129,440.6353517103188
4.0113,441.51801165267005,440.6353543037334
4.0114,441.51139707619444,440.63535687777596
4.0115,441.504784171206,440.6353594324514
4.0116000000000005,441.4981729373247,440.6353619677647
4.0117,441.4915633741707,440.6353644837208
4.0118,441.48495548136424,440.63536698032465
4.0119,441.47834925852544,440.6353694575812
4.012,441.4717447052746,440.63537191549534
4.0121,441.465141821232,440.635374354072
4.0122,441.4585406060182,440.6353767733161
4.0123,441.4519410592536,440.6353791732327
4.0124,441.4453431805588,440.6353815538267
4.0125,441.43874696955424,440.6353839151029
4.0126,441.4321524258607,440.63538625706644
4.012700000000001,441.4255595490988,440.6353885797221
4.0128,441.4189683388895,440.6353908830748
4.0129,441.4123787948535,440.63539316712956
4.013,441.4057909166118,440.6353954318913
4.0131000000000006,441.39920470378524,440.6353976773649
4.0132,441.3926201559951,440.6353999035553
4.0133,441.3860372728621,440.63540211046745
4.0134,441.3794560540078,440.63540429810627
4.0135,441.37287649905323,440.63540646647675
4.0136,441.3662986076196,440.6354086155837
4.0137,441.3597223793284,440.635410745432
4.0138,441.3531478138009,440.6354128560267
4.0139000000000005,441.3465749106588,440.6354149473727
4.014,441.34000366952336,440.63541701947486
4.0141,441.3334340900164,440.6354190723382
4.014200000000001,441.3268661717594,440.6354211059674
4.0143,441.32029991437423,440.63542312036765
4.0144,441.31373531748255,440.6354251155438
4.0145,441.3071723807064,440.6354270915007
4.014600000000001,441.3006111036674,440.6354290482432
4.0147,441.2940514859878,440.6354309857764
4.0148,441.28749352728937,440.635432904105
4.0149,441.28093722719444,440.63543480323403
4.015,441.2743825853251,440.6354366831684
4.0151,441.26782960130356,440.635438543913
4.0152,441.26127827475204,440.63544038547275
4.0153,441.2547286052929,440.6354422078525
4.0154000000000005,441.2481805925487,440.6354440110572
4.0155,441.2416342361417,440.6354457950917
4.0156,441.2350895356946,440.635447559961
4.015700000000001,441.2285464908299,440.63544930566997
4.0158000000000005,441.2220051011703,440.63545103222344
4.0159,441.2154653663384,440.63545273962626
4.016,441.20892728595715,440.63545442788353
4.016100000000001,441.2023908596494,440.63545609700003
4.0162,441.195856087038,440.63545774698065
4.0163,441.18932296774585,440.6354593778303
4.0164,441.1827915013961,440.6354609895538
